date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-28,,cb_noredeem_20260428_1200.log,华特转债,118033,5,15,-0.25
2026-04-28,,cb_noredeem_20260428_1200.log,超达转债,123187,12,15,-0.12
2026-04-28,,cb_noredeem_20260428_1200.log,瑞丰转债,123126,11,15,-0.09
2026-04-28,,cb_noredeem_20260428_1400.log,超达转债,123187,12,15,-0.42
2026-04-28,,cb_noredeem_20260428_1400.log,瑞丰转债,123126,11,15,0.11
2026-04-28,,cb_noredeem_20260428_1400.log,华特转债,118033,5,15,0.76
2026-04-28,,cb_noredeem_20260428_1600.log,瑞丰转债,123126,11,15,-1.07
2026-04-28,,cb_noredeem_20260428_1600.log,超达转债,123187,13,15,-0.29
2026-04-28,,cb_noredeem_20260428_1600.log,华特转债,118033,6,15,1.14
2026-04-28,,cb_noredeem_20260428_2200.log,瑞丰转债,123126,11,15,-1.07
2026-04-28,,cb_noredeem_20260428_2200.log,超达转债,123187,13,15,-0.29
2026-04-28,,cb_noredeem_20260428_2200.log,华特转债,118033,6,15,1.14
2026-04-29,,cb_noredeem_20260429_0100.log,瑞丰转债,123126,11,15,-1.07
2026-04-29,,cb_noredeem_20260429_0100.log,超达转债,123187,13,15,-0.29
2026-04-29,,cb_noredeem_20260429_0100.log,华特转债,118033,6,15,1.14
2026-04-29,,cb_noredeem_20260429_0800.log,瑞丰转债,123126,11,15,-1.07
2026-04-29,,cb_noredeem_20260429_0800.log,超达转债,123187,13,15,-0.29
2026-04-29,,cb_noredeem_20260429_0800.log,华特转债,118033,6,15,1.14
2026-04-29,,cb_noredeem_20260429_1000.log,帝欧转债,127047,10,15,-0.48
2026-04-29,,cb_noredeem_20260429_1000.log,超达转债,123187,13,15,-0.4
2026-04-29,,cb_noredeem_20260429_1000.log,瑞丰转债,123126,11,15,0.01
2026-04-29,,cb_noredeem_20260429_1000.log,盈峰转债,127024,13,15,1.0
2026-04-29,,cb_noredeem_20260429_1000.log,星球转债,118041,3,15,1.55
2026-04-29,,cb_noredeem_20260429_1030.log,帝欧转债,127047,10,15,-0.33
2026-04-29,,cb_noredeem_20260429_1030.log,星球转债,118041,3,15,1.08
2026-04-29,,cb_noredeem_20260429_1030.log,超达转债,123187,13,15,1.25
2026-04-29,,cb_noredeem_20260429_1030.log,瑞丰转债,123126,11,15,1.38
2026-04-29,,cb_noredeem_20260429_1030.log,盈峰转债,127024,13,15,1.71
2026-04-29,,cb_noredeem_20260429_1058.log,帝欧转债,127047,10,15,-0.4
2026-04-29,,cb_noredeem_20260429_1058.log,盈峰转债,127024,13,15,1.04
2026-04-29,,cb_noredeem_20260429_1058.log,超达转债,123187,13,15,1.12
2026-04-29,,cb_noredeem_20260429_1058.log,瑞丰转债,123126,11,15,1.33
2026-04-29,,cb_noredeem_20260429_1058.log,星球转债,118041,3,15,1.35
2026-04-29,,cb_noredeem_20260429_1100.log,帝欧转债,127047,10,15,-0.26
2026-04-29,,cb_noredeem_20260429_1100.log,盈峰转债,127024,13,15,0.86
